ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Temperature,RHMin,WS,WD,WSGust,WDGust,RH,Precp
2011/12/3,1017.9,1020.9,1015.4,18.4,14.9,16.7,48,2.1,60,13.2,238,59,0
2011/12/4,1018.3,1020.5,1016,22,15.9,19.4,48,2.4,58,11.3,50,59,0
2011/12/5,1017.9,1019.8,1016.1,21.1,18.6,19.8,69,1.3,50,8.2,231,86,26
2011/12/6,1017.4,1020.2,1015.2,25.8,19.6,22.4,71,2,73,9.3,276,86,23
2011/12/7,1014.9,1016.8,1012.7,31.7,20.8,24.2,52,1,74,14.8,237,81,0
2011/12/8,1019,1022.4,1015.2,21.8,15.9,18.2,75,1.2,10,6.8,332,83,1
2011/12/9,1023,1025.2,1021.3,16.7,12.9,14.9,67,1.6,49,8.8,55,79,9.5
2011/12/10,1022.5,1024.2,1020.7,17.7,13.5,15.6,68,1.8,68,9.9,49,76,0
2011/12/11,1021.2,1023.7,1018.9,17.1,13.1,15.2,72,2.4,77,8.2,56,82,0.5
2011/12/12,1019,1020.2,1017.6,19.4,16.8,18.1,79,1.7,76,7.7,72,85,0
2011/12/13,1018.3,1020.5,1016.5,19.9,17.9,19,81,1.6,75,8.8,67,84,0
2011/12/14,1018,1019.8,1016,20.9,18.7,19.7,86,0.9,79,7.1,88,91,23
2011/12/15,1020,1022.1,1018,19.7,17,18.1,77,0.6,11,6.3,93,83,7.5
2011/12/16,1024.6,1026.5,1022,17.4,14.1,15.4,67,1.5,1,9.1,39,72,0
2011/12/17,1024.8,1027,1022.7,16.8,13.7,15.3,64,2.4,75,8.5,24,69,0
2011/12/18,1022.4,1024,1020.5,21.2,16,17.6,52,1.5,78,8,45,68,0
2011/12/19,1020.9,1023.4,1019,18,16.1,16.9,75,2,76,12.6,243,82,0
2011/12/20,1017.6,1020.2,1015.2,21.6,17.6,19.6,75,1.3,48,6,81,83,0.5
2011/12/21,1017.1,1018.7,1015.5,20.2,17.7,18.9,83,0.6,3,6.6,309,89,4.5
2011/12/22,1019.5,1021,1018,18.1,12.9,15.1,79,0.5,6,6.3,327,86,16.5
2011/12/23,1019.8,1021.2,1017.8,15.2,12.5,13.9,80,0.4,34,8.5,320,85,2.5
2011/12/24,1023.4,1025.4,1021.1,13.9,12.1,12.9,46,1.6,20,8,10,56,0
2011/12/25,1024.5,1026,1022.8,16.4,12.6,15,47,2.2,68,9.1,80,54,0
2011/12/26,1024.8,1026.5,1023.8,18.8,14.9,16.3,56,2,80,9.6,65,67,0
2011/12/27,1022.6,1025.1,1020.2,20.6,15,17.4,68,1.1,73,7.4,80,79,0.5
2011/12/28,1020.8,1022.8,1019.1,23,14.4,18.3,54,0.3,233,5.5,240,78,0
2011/12/29,1020.2,1022.1,1018.7,21.2,17.2,18.5,66,0.8,78,6.3,71,79,0
2011/12/30,1023.2,1026,1020.4,17.7,14.7,15.9,77,1.4,78,8.2,94,83,7.5
2011/12/31,1022,1023.8,1020.2,17.6,14.3,15.9,75,0.9,76,7.4,84,82,2.5
2012/1/1,1021.9,1023.9,1020.1,16.6,15.2,15.9,58,1,13,8,61,71,0
2012/1/2,1019.9,1022.3,1018,18,15.1,16.4,52,1.6,78,7.1,94,62,0
2012/1/3,1019.3,1023.1,1016.9,19.9,14,17.1,66,1.5,76,8.5,88,74,0
2012/1/4,1025.4,1028.3,1022.4,14.4,9,11,66,1.3,30,6.6,11,79,4.5
2012/1/5,1022.6,1025.7,1019.5,15.8,10.7,12.8,72,1.6,77,7.4,68,85,10.5
2012/1/6,1020.9,1024.3,1018.5,17.5,14.8,15.8,83,0.4,78,6.8,75,92,31
2012/1/7,1024,1026,1022.7,19,15.3,17,73,1.6,77,8,86,83,0
2012/1/8,1022.3,1023.9,1020.2,19.8,16.8,18,79,0.2,10,4.1,323,87,0
2012/1/9,1022.1,1024.5,1020.6,19.7,16.5,17.7,72,1.4,79,7.7,88,81,0
2012/1/10,1021.4,1022.8,1019.4,21.4,16.9,18.5,60,1.6,61,8,44,71,0
2012/1/11,1024.6,1026.5,1022.4,17.9,15,16.6,60,2,52,9.1,32,67,0
2012/1/12,1021.7,1024.6,1018.8,19.3,15.1,16.8,63,2.7,78,9.9,86,76,0
2012/1/13,1018.6,1021.2,1016.3,20.3,17.5,18.6,77,1.1,75,8.5,84,84,0
2012/1/14,1013.7,1016.8,1011.1,25.3,18.1,20.5,63,0.4,44,4.9,326,86,1.5
2012/1/15,1009.6,1012.9,1007.2,19.9,17.7,18.7,81,0.6,28,6,82,89,9
2012/1/16,1011.6,1015.4,1008.2,19.7,14.4,16.1,70,1,37,9.9,320,86,18.5
2012/1/17,1014,1016,1012.2,21.7,14.9,18.3,49,1.6,63,10.2,99,69,0
2012/1/18,1012.9,1015.2,1010.8,26,16.5,19.7,43,0.3,329,4.9,17,71,0
2012/1/19,1014.5,1016,1012.6,23.2,16.3,18.6,62,1.2,77,8.5,354,80,0
2012/1/20,1014.9,1016.9,1013.7,18.7,16.4,17.6,72,1.8,78,8,92,77,0
2012/1/21,1014.6,1016.9,1012.8,18.4,15.1,16.9,73,1.4,66,8,26,81,4
2012/1/22,1018.1,1020.6,1015,16.3,11.7,13.6,82,0.6,5,5.7,49,88,29.5
2012/1/23,1019.9,1021.8,1017.8,13.7,10.7,12.5,78,1.3,73,6.8,104,83,11
2012/1/24,1017,1019.3,1014.3,15.8,12.8,14,82,0.7,55,6.3,75,89,28
2012/1/25,1020.5,1022.3,1018.3,13.1,10.5,11.5,71,1.3,80,7.4,289,80,2
2012/1/26,1019.1,1022.6,1016.3,16.6,11.1,14.2,72,1.2,76,6.6,34,82,7.5
2012/1/27,1016.2,1018.8,1014.5,19.7,13.9,16.2,67,0.3,343,4.4,339,83,0
2012/1/28,1015.4,1017.4,1013.8,18.4,15.9,16.8,77,0.4,343,4.4,344,82,0
2012/1/29,1017.1,1019.1,1015,18.1,15.9,16.9,79,0.8,353,5.7,324,83,0
2012/1/30,1018.9,1020.2,1017.1,18.9,15,16.7,71,1.2,347,7.7,340,79,0
2012/1/31,1019.8,1022.1,1018,15.8,13.3,14.8,75,0.8,79,7.4,327,80,0.5
2012/2/1,1018.5,1020.1,1017.1,18.6,14.8,16.7,73,0.9,80,6.8,84,81,0
2012/2/2,1022.6,1024.9,1020,16.7,12.8,14.5,69,2.1,75,11,86,79,0.5
2012/2/3,1022,1023.9,1020.4,14.1,12.3,13,82,1.5,77,8,63,89,9
2012/2/4,1018.3,1021.2,1015,22.2,13.7,18.2,67,1.3,54,8.2,76,81,1
2012/2/5,1016,1018.4,1013.7,25.6,16.1,19.5,55,0.6,7,5.5,73,81,0
2012/2/6,1009.7,1013.8,1006.1,28.4,17.3,21.8,50,0.3,7,5.2,307,75,0
2012/2/7,1016.6,1021.7,1009.1,21.2,10.7,13.4,67,1.4,10,7.7,24,81,27
2012/2/8,1021.9,1023.9,1020.4,12.4,10,11.2,69,1.9,59,7.4,15,78,3.5
2012/2/9,1019.6,1023.4,1016.9,15.7,10.8,13.4,72,1.3,53,8.2,74,84,1.5
2012/2/10,1018.7,1020.7,1016.9,16.8,14,15.5,86,0.3,12,4.9,310,90,0
2012/2/11,1020.6,1022.1,1019,21,14.8,16.8,63,1.3,58,7.4,85,81,0
2012/2/12,1017.9,1020.2,1014.6,26.2,16.4,20.9,56,1.5,71,9.1,98,76,0
2012/2/13,1017.5,1020.6,1015.2,27.8,15.8,20.9,41,0.6,62,5.2,99,71,0
2012/2/14,1014.2,1017.4,1011.9,25.6,17.8,20.8,61,0.6,17,4.9,351,82,0
2012/2/15,1013.4,1015.1,1011.3,20.2,17,18.3,74,1.1,75,8,71,86,1
2012/2/16,1016.8,1018.8,1014.3,17.5,14.5,15.7,66,0.8,338,7.4,85,82,10
2012/2/17,1020.3,1023.5,1018,15.6,12,13.9,72,0.8,22,8.2,35,80,0.5
2012/2/18,1023.5,1025.1,1021.5,13.3,12,12.6,67,2.1,66,8,75,71,0
2012/2/19,1022.4,1024,1020.6,14.4,12.1,13.4,66,2.2,77,8.8,72,74,0
2012/2/20,1017.5,1021.5,1015.1,22.5,13.9,18.8,60,2.2,53,9.3,23,72,0
2012/2/21,1013.1,1015.4,1010.7,28.3,16.4,20.4,48,0.4,26,4.9,98,75,0
2012/2/22,1009.6,1011.8,1006.8,27.8,17.1,21,51,0.4,20,5.2,310,75,0
2012/2/23,1009,1010.7,1007.7,21.9,18.4,19.7,78,0.3,345,4.6,315,92,44
2012/2/24,1010.4,1012.4,1008.2,21.4,16.6,18.3,78,0.5,48,5.2,87,92,56.5
2012/2/25,1012.9,1015.8,1009.3,18.7,13,15.6,80,0.7,79,5.7,96,88,39
2012/2/26,1017,1019.3,1013.7,14.5,11.9,12.9,80,0.6,356,6,326,86,22
2012/2/27,1016.3,1020,1011.7,16.3,12.4,14.1,81,1.5,76,9.6,73,86,5
2012/2/28,1013,1015.8,1009.6,17.3,12.9,14.8,85,0.5,343,8.5,330,91,24
2012/2/29,1013.9,1014.1,1011.2,26.3,16.4,17.9,51,1.4,77,9.3,265,82,0
2012/3/1,1013.7,1016.3,1011.1,25.1,13.5,18.3,64,0.7,346,4.1,326,83,0
2012/3/2,1013.2,1015.5,1011.5,24.9,16.2,19.1,64,0.7,74,5.7,66,85,0
2012/3/3,1014.4,1016.1,1012.4,23.6,16.2,19.1,75,1.2,75,8.2,49,85,0
2012/3/4,1012.7,1014.6,1010.2,24.3,15.4,18.6,65,0.7,24,5.7,328,86,0
2012/3/5,1009.3,1012.7,1006.7,29,15.6,20.7,52,0.6,31,8,319,80,1.5
2012/3/6,1009.7,1012.7,1007.1,27,18.2,22.7,65,1.3,66,7.4,20,77,0
2012/3/7,1010.5,1012.3,1009.4,19.1,14.6,15.8,83,1.1,318,5.2,313,90,0.5
2012/3/8,1011.3,1013.8,1008.8,16.8,14.2,15.4,84,0.9,333,5.7,325,92,3
2012/3/9,1015.5,1017.7,1012.6,15.2,11.9,13.2,82,1.2,337,7.4,310,87,15.5
2012/3/10,1018.3,1020.2,1016.9,14.1,10.5,12.6,76,0.8,344,7.1,6,84,4
2012/3/11,1020.4,1022.3,1018.8,15.5,12.8,14.2,64,1.4,64,9.3,91,76,3.5
2012/3/12,1021.3,1023.2,1019.6,15.8,13,14.3,73,2.2,76,10.2,74,84,6.5
2012/3/13,1020.5,1022.9,1018.3,16.8,13.6,15.3,84,1.1,78,6.8,86,92,21
2012/3/14,1018.2,1019.9,1016.8,17.9,15.3,16.8,92,0.4,35,5.2,329,94,7
2012/3/15,1015.6,1017.8,1013.4,24.1,15.4,17.5,64,0.4,19,4.6,2,90,0
2012/3/16,1012.3,1014.4,1009.9,28.5,15.2,21.7,55,0.3,7,7.7,275,80,0
2012/3/17,1011.2,1012.9,1009.5,30.3,20.3,24.6,59,0.3,1,5.2,47,83,0
2012/3/18,1012.7,1014.9,1009.5,29.2,20.1,23.6,63,1.2,73,10.7,72,85,0
2012/3/19,1014.4,1016.5,1013,22.3,15.7,19,70,1.6,75,11,86,83,0
2012/3/20,1014.9,1018,1012.4,20.3,16,17.5,80,0.9,318,6,103,88,0
2012/3/21,1016.6,1020.1,1013.7,21.4,16.3,18.3,71,2.5,52,11,22,79,0
2012/3/22,1013.2,1016.7,1010.1,27.2,18.3,22.2,61,0.5,26,10.2,254,79,0
2012/3/23,1013.1,1020.9,1010.1,30.3,13.5,21.2,50,0.8,340,9.6,259,79,1
2012/3/24,1020.4,1022.6,1018.9,15.2,10.4,13.5,39,1.6,31,9.1,55,61,2
2012/3/25,1019.9,1021.5,1018.4,20.7,13.2,17,35,2.7,52,11,47,50,0
2012/3/26,1019.5,1021.1,1017.8,25,16.9,20.6,34,2.8,76,11.8,244,47,0
2012/3/27,1020,1022,1018.5,26.3,19.5,22.2,41,2.2,75,11,266,53,0
2012/3/28,1018.5,1021.1,1016.3,27.2,20,23.2,32,1.9,75,10.4,54,48,0
2012/3/29,1016.8,1019.4,1014.7,27.3,21,23.5,39,1.3,76,7.7,88,53,0
2012/3/30,1013.9,1016.3,1011.2,30.1,19.3,23.7,26,0.5,327,11.8,265,58,0
2012/3/31,1019.8,1022.9,1014,22.6,15.4,18.3,45,2.3,78,10.2,337,62,7
2012/4/1,1017.7,1020.5,1015.5,23,17.4,20.5,49,2.3,73,9.6,68,54,0
2012/4/2,1014.1,1016.6,1011.3,29.3,20,23.6,48,0.3,345,13.5,277,63,0
2012/4/3,1016.8,1020.2,1012.9,28.1,17.5,21.8,53,1.9,77,10.4,71,68,0
2012/4/4,1014.7,1019.5,1010.8,28.8,17.5,22.6,38,1.6,70,8.8,40,57,0
2012/4/5,1013.6,1015.6,1011.9,21.9,18.6,19.8,72,0.5,75,4.9,63,88,20.5
2012/4/6,1016.2,1017.8,1013.7,20.4,17.1,19.1,57,1.6,71,7.7,69,73,0.5
2012/4/7,1016.6,1018.3,1015.1,24.2,18.9,21.4,52,2.4,67,11.5,88,62,0.5
2012/4/8,1015.6,1016.7,1014.5,26,20.9,22.8,53,1.8,74,7.4,97,67,0
2012/4/9,1015.2,1016.5,1013.8,24,20.8,21.9,71,0.3,7,4.1,79,86,22
2012/4/10,1012.5,1015.5,1010.2,30,21.1,25.2,60,0.3,17,7.4,267,77,0
2012/4/11,1010,1011.7,1007.7,31,23.1,26.2,62,0.9,19,8.2,257,80,14
2012/4/12,1009.4,1011.2,1007.2,31,22.2,26.2,57,0.9,335,6.8,79,75,0
2012/4/13,1008.9,1010.7,1006.8,31.2,23.8,27.3,53,1,258,9.9,250,70,0
2012/4/14,1011,1013,1009.5,27.1,21.5,23.1,62,1.5,77,8.5,84,82,5.5
2012/4/15,1008.2,1010.6,1005.2,28.5,22.4,24.3,67,0.5,85,8,280,83,5.5
2012/4/16,1009.8,1012.1,1006.2,23.3,19,20.6,73,1,77,6.8,326,89,53
2012/4/17,1010.4,1012.1,1008.3,23.8,18.6,20.8,52,1.7,77,9.1,83,75,16.5
2012/4/18,1009.1,1010.5,1007.4,28.5,20.2,23.2,63,0.4,49,4.9,337,85,5
2012/4/19,1009.3,1010.8,1007.5,28,22.1,24.5,72,0.2,8,5.2,301,86,0.5
2012/4/20,1008.3,1010.1,1005.6,30.2,23.2,25.6,63,0.7,72,5.7,83,83,20.5
2012/4/21,1005.4,1008.9,1003.3,31.2,22.9,26.1,46,1.1,283,8.5,240,80,58
2012/4/22,1010.3,1012.2,1007.8,25.8,20.1,22.8,63,1.1,78,7.4,74,78,59
2012/4/23,1009.8,1011.9,1007.7,31.8,21.7,25.9,49,0.6,57,8.2,248,72,0
2012/4/24,1006.8,1009.1,1004.4,33.5,24,26.9,47,0.6,75,7.4,245,74,0
2012/4/25,1004.9,1008.3,1002.4,33.1,23.7,27.7,50,1.4,256,11.3,264,76,5
2012/4/26,1011.2,1013.8,1005.3,25.5,17.4,19.9,70,1.5,76,8,89,84,59
2012/4/27,1010.4,1012.4,1008.3,22.2,19.2,21,77,0.3,29,5.7,87,87,20
2012/4/28,1010.3,1011.3,1009,29.4,20.6,24,55,0.2,54,7.7,266,86,4
2012/4/29,1007.5,1009.9,1005.7,30.7,21.8,25.4,54,0.3,40,10.4,266,79,0.5
2012/4/30,1005.3,1007.5,1003,33.5,22.8,28.5,48,1,253,10.4,246,70,8
2012/5/1,1004.5,1006.3,1002.3,34.5,24.8,29.9,43,1.2,255,12.4,311,66,0
2012/5/2,1004.6,1007.7,1002.7,33.2,23.2,28.5,50,1.7,259,13.2,271,72,43.5
2012/5/3,1006.8,1008.5,1005,27.5,22.7,24.4,62,1.8,77,8.2,77,75,0.5
2012/5/4,1007,1009,1004.6,23.6,20.6,21.9,77,1.5,77,8.2,101,85,40
2012/5/5,1008.7,1010.5,1007.4,29.3,21.2,24.7,42,0.8,73,6,68,64,0
2012/5/6,1009.3,1011.5,1007.9,31.6,20.3,25.5,25,0.8,69,6.3,88,56,0
2012/5/7,1008.5,1010.4,1007.1,32,20.3,26.5,36,0.4,19,6,251,58,0
2012/5/8,1005.1,1007.4,1002.2,33.8,23.9,29.3,47,1,254,9.1,267,63,0
2012/5/9,1007.2,1010.5,1004.1,33.3,24.2,27.5,57,1.1,76,8.2,7,76,0.5
2012/5/10,1009.4,1011,1008.2,25.9,21.5,23.6,75,1.3,79,6.8,80,85,21.5
2012/5/11,1007.9,1009.4,1006.1,27.7,21.5,24.7,68,1.9,59,8.5,38,81,2.5
2012/5/12,1006.1,1007.8,1004.4,32.8,24.5,27.5,54,1.2,80,7.1,336,75,2.5
2012/5/13,1004.6,1006.1,1002.9,33.1,24.6,28.6,53,0.7,262,7.4,259,71,0
2012/5/14,1006.2,1007.7,1004.6,34.5,25.2,29.7,51,0.9,332,7.1,233,69,0
2012/5/15,1006.8,1008.9,1005.2,34.2,26.4,29.2,51,0.8,74,7.4,282,73,0
2012/5/16,1006,1007.8,1004.2,30.4,26.1,27.5,69,0.7,70,5.7,334,81,4.5
2012/5/17,1007.5,1010,1005,27.9,22.1,25.1,60,0.7,78,5.2,45,79,24.5
2012/5/18,1009.7,1011.3,1008.2,30.8,22.5,26.1,43,1.3,70,7.7,74,65,5
2012/5/19,1007.6,1010.7,1005.2,29,22.1,25.4,69,0.3,75,4.9,256,85,11.5
2012/5/20,1005.6,1008.4,1002.7,26,23.4,24.5,77,0.6,78,4.6,86,90,25.5
2012/5/21,1008.4,1010.5,1006.7,28.6,22.8,24.9,52,1.9,55,8.8,73,71,0
2012/5/22,1008.6,1010,1007.3,28.8,22.8,25.2,47,2.1,75,8.8,81,62,0
2012/5/23,1007.2,1008.9,1005.5,31.8,22.5,26.7,52,1.6,64,7.1,77,69,0
2012/5/24,1006.1,1007.2,1004.6,31.5,24.9,27.6,54,0.9,61,8,245,73,0
2012/5/25,1006.9,1009.4,1005.7,32.7,24.1,27.7,46,1.1,333,7.4,349,72,0
2012/5/26,1007.6,1009.6,1005.8,32.5,24.7,27.4,56,1.6,78,6.8,76,74,3.5
2012/5/27,1008.3,1009.7,1006.7,28,24.4,25.8,72,1.3,79,7.4,58,84,1.5
2012/5/28,1009.5,1011.5,1007.8,27.4,23.8,25.1,79,1.2,74,6.8,88,91,34
2012/5/29,1008.6,1010.7,1006.7,31.9,24.9,28,63,2,71,8.8,50,78,0
2012/5/30,1006.4,1007.9,1005.1,32.6,26.4,28.6,58,0.7,75,6,334,77,0.5
2012/5/31,1008.7,1010.2,1006.7,28.9,24.1,25.5,67,1.8,19,7.7,40,79,6.5
2012/6/1,1007.7,1009.6,1005.3,28.6,23.9,25.9,63,1.6,75,8.2,89,77,0
2012/6/2,1005.3,1006.8,1003.6,29.8,24.5,25.9,67,0.8,339,5.7,321,85,3
2012/6/3,1003.7,1004.7,1002.3,27.8,24.6,26.1,71,1.9,77,9.1,38,81,0
2012/6/4,1002.4,1003.5,1000.8,27.5,24.6,26,86,0.5,14,5.7,13,91,4.5
2012/6/5,1003.5,1005.3,1001.7,30.5,24.9,27.1,62,1.3,321,8,95,78,0
2012/6/6,1003.3,1004.2,1002.1,33.8,25.1,28.7,54,1.5,76,8,85,73,0
2012/6/7,1003.2,1004.6,1001.7,35.7,26.8,30.1,57,0.7,350,9.6,230,76,0
2012/6/8,1003.5,1004.6,1002.2,34.6,28.6,31.1,60,1,256,18.4,273,72,0
2012/6/9,1001.9,1003.9,1000,34.2,28.3,31.1,57,1,245,9.3,240,70,0
2012/6/10,998.7,1000.5,996.8,34.6,28.8,31.4,56,1.2,250,9.6,234,66,0
2012/6/11,996.4,999.1,994.8,33.6,24.2,30.6,62,2.2,255,12.4,269,71,97
2012/6/12,998,1001.4,996.2,27.2,23.7,25.2,88,0.4,77,4.1,95,95,267
2012/6/13,1001.7,1002.8,1000.8,30.2,26.4,27.3,58,1.5,74,8,50,74,0
2012/6/14,1001.1,1002.4,1000.1,29.9,25.8,27.2,71,0.6,74,5.7,88,87,19
2012/6/15,1000.3,1003.3,998.9,33.4,24.8,27.8,56,0.4,29,5.7,318,85,65.5
2012/6/16,1004,1005.5,1001.8,29.7,25.5,27,77,0.3,49,4.1,354,90,35.5
2012/6/17,1004,1005.5,1002.4,34.8,25.6,30.1,55,0.6,78,5.7,80,74,0
2012/6/18,1001,1003.5,999.2,32.7,27.9,29.7,60,0.6,333,6.3,340,75,0
2012/6/19,998.6,1000,997.3,30.5,25.9,27.6,70,0.4,68,4.1,308,86,27
2012/6/20,997.7,1000.2,995.5,29.5,24.6,26.9,79,0.6,79,8.5,33,88,15.5
2012/6/21,1004.8,1007.8,999.9,26.7,24.2,25.1,84,0.3,37,3.5,331,92,9
2012/6/22,1006.1,1007.2,1004.9,32.8,24.8,27.7,59,0.4,7,4.6,271,83,23.5
2012/6/23,1004.4,1006,1002.9,33.4,25.6,28.5,56,0.3,77,5.2,76,81,9.5
2012/6/24,1004.7,1005.7,1003.8,33.7,26.1,29.5,57,0.4,78,5.7,79,78,0
2012/6/25,1004.8,1005.6,1003.4,34.9,26.7,29.4,51,0.5,258,7.7,89,76,0.5
2012/6/26,1004.9,1006.6,1003.8,34.2,27,29.8,54,0.6,6,7.1,349,75,0.5
2012/6/27,1006.2,1007.2,1005.3,35.2,26.9,30,50,0.8,334,6.3,339,73,0
2012/6/28,1004.1,1006.8,1001.4,35.1,27.3,30.9,47,2,75,11.3,84,67,0
2012/6/29,1002.9,1006.1,998.6,34.8,29,31.2,52,0.8,54,14.6,78,66,0
2012/6/30,1007.2,1010.1,1005.6,33.5,26.9,30.1,61,0.9,331,6.8,317,74,0.5
2012/7/1,1009.1,1010.6,1007.5,34.4,28.6,30.8,53,1,336,6.6,343,72,0
2012/7/2,1006.8,1009.5,1004.9,34.2,27.9,31,50,0.9,74,7.1,244,65,0
2012/7/3,1004.2,1006,1002.3,34.7,26.9,31,51,0.8,348,5.7,344,68,0
2012/7/4,1004.3,1005.8,1002.5,35.2,27.2,31,51,0.6,9,10.4,259,67,0
2012/7/5,1006.2,1007.9,1004.7,34.5,27.8,30.7,51,0.9,3,5.7,2,71,0
2012/7/6,1006.8,1007.8,1005.8,34,28.9,30.6,57,0.7,334,5.7,1,74,0
2012/7/7,1005.8,1006.9,1004.6,34.2,27.7,30.8,58,0.8,337,7.1,250,71,0
2012/7/8,1005.2,1006.3,1004.1,35.5,28.1,31.3,54,1.1,188,6,260,69,0
2012/7/9,1005.1,1006.9,1004,35.9,28.4,32.1,51,1.1,258,6.8,268,66,0
2012/7/10,1003.9,1006.1,1002.2,37.5,28.9,32.6,40,1.1,262,8.2,274,61,0
2012/7/11,1003.7,1004.6,1002.7,35.8,28.4,32.2,48,1.2,254,8,254,65,0
2012/7/12,1004.3,1005.6,1002.9,36.1,28.4,31.9,43,1.2,262,8.8,263,62,0
2012/7/13,1003.8,1005.6,1001.7,36.3,28.1,31.8,39,1.5,260,8.8,257,62,0
2012/7/14,1002.9,1004.1,1001.3,36.1,28.8,32,47,1.4,73,8.2,254,65,0
2012/7/15,1004.4,1006.3,1002.8,36.4,29.3,31.5,44,0.9,268,7.4,263,68,0
2012/7/16,1006.3,1008.2,1004.4,35.4,24.4,29.6,50,0.5,73,8,239,77,56
2012/7/17,1005.4,1006.9,1003.6,34.7,26.2,30.7,53,1,253,12.4,246,70,0
2012/7/18,1005.2,1006.3,1003.8,34.5,28.6,31.4,57,1.1,259,8,260,69,0
2012/7/19,1005.6,1007.2,1003.5,36.1,29.2,31.7,49,1.2,80,8.5,251,68,0
2012/7/20,1003.4,1005.7,1000.7,35.8,29.1,32.4,50,2.3,76,11.8,66,63,0
2012/7/21,1001.2,1002.9,999.2,36.3,30.5,32.7,50,2.2,76,12.1,66,61,0
2012/7/22,1000.5,1002.1,998.9,35,29.5,31.7,50,1.6,74,11.5,79,62,0
2012/7/23,1001.2,1003,999.2,35.7,27.3,31,47,1.8,75,11.5,237,65,3
2012/7/24,1004.5,1008.2,1001.9,35.7,29.1,31.8,48,1.9,74,9.9,74,61,0
2012/7/25,1006.8,1008,1005.5,37,28.8,31.5,41,1.8,75,11.3,235,62,0
2012/7/26,1005.1,1006.8,1003.9,31.9,26,28.4,63,0.5,21,10.4,227,81,28
2012/7/27,1003.8,1005.1,1002.3,35.5,26.7,30.8,53,1.4,74,12.4,237,69,0
2012/7/28,1003.8,1005.1,1002.4,35.6,28.8,31.8,48,2.2,76,10.2,85,62,0
2012/7/29,1002.2,1004.5,1000.2,35.5,29,31.5,47,2.8,76,11,103,63,0
2012/7/30,999,1000.7,997,31.6,27.5,29.3,67,2.8,76,11.3,79,79,8
2012/7/31,994.5,997.4,992.8,31.3,26.8,28.9,70,3.3,51,14,63,81,15
2012/8/1,989.9,993.6,985.2,30.6,25.3,27.9,73,3.6,49,20.9,18,84,97
2012/8/2,985.2,990.9,982.8,29,25.6,26.9,82,1.8,15,14,14,92,157.5
2012/8/3,995.6,999,990.7,32.9,26,28.8,63,0.5,83,6.8,204,82,4
2012/8/4,1000,1002.1,997.9,33.6,26.6,29.6,62,0.7,73,6.6,309,79,0
2012/8/5,1001.4,1002.7,1000.2,31.4,26.8,28.9,67,0.7,32,6.6,306,79,5
2012/8/6,998.9,1001.4,996.6,32.6,26.5,29.1,59,2.1,251,11,264,76,7
2012/8/7,995.8,997.8,994.4,34.8,26.9,31.3,49,2.5,261,12.1,282,63,0.5
2012/8/8,996.3,998.8,994.2,37.7,29.2,32.6,42,0.9,251,7.7,265,63,0
2012/8/9,999.6,1001.6,997.9,35,26.9,30,57,0.8,73,5.5,19,75,5
2012/8/10,1001.8,1003.8,1000.6,35.4,26.6,30.6,49,0.6,65,5.7,267,69,0
2012/8/11,1004,1006.2,1002.8,35.2,26.7,30.4,45,0.8,65,7.7,281,72,14
2012/8/12,1004.2,1005.6,1002.9,34.5,25.5,28.8,51,0.5,67,6.3,88,81,64
2012/8/13,1004.1,1005.2,1002.9,34,26.3,29.7,55,0.7,42,6,315,76,0
2012/8/14,1004,1005.3,1002.7,37.3,26.7,31,35,1.5,76,8.5,43,68,0
2012/8/15,1002.6,1004.2,1001.3,34.9,28.7,31.2,55,2.9,76,9.9,39,70,0
2012/8/16,1003.2,1007.5,999.5,36.1,29,31.9,50,1.6,73,9.3,82,64,0
2012/8/17,1007.9,1010.1,1006.1,34.3,26.2,28.4,54,0.5,258,9.6,239,81,29.5
2012/8/18,1007.8,1010.1,1005.6,35.8,26.8,30.3,54,1,48,7.4,41,75,0.5
2012/8/19,1006.1,1009.1,1004,36.6,27.5,31.4,40,1.2,71,8.5,92,63,0
2012/8/20,1004.8,1006.4,1002.5,36.1,27.6,31.2,42,1.5,75,8.8,86,61,0
2012/8/21,1004.6,1005.8,1003.1,35.2,28,31,45,1.7,68,9.3,73,63,0
2012/8/22,1003.6,1005.2,1002.1,34.3,26.5,29.8,51,1.1,20,11.5,237,74,35
2012/8/23,1002.3,1003.4,1001.3,32.6,26.3,29.1,60,1.8,51,10.4,49,81,38.5
2012/8/24,1000.5,1002.5,998.9,32.6,28.3,30.3,61,3.7,76,12.9,85,72,0
2012/8/25,1003.6,1005.3,1000.7,34.8,28.3,30.5,50,2.7,75,9.9,93,67,0
2012/8/26,1001.5,1004.5,999.6,33.2,26.7,29.2,61,0.7,345,7.1,299,75,3.5
2012/8/27,998.5,999.7,997,34.2,26.9,30.6,52,1,76,6.6,257,69,8
2012/8/28,999.1,1003.8,995.1,31,26.2,29,63,2,75,10.4,241,76,9.5
2012/8/29,1005.7,1008.3,1003.1,32,28.3,29.8,65,1.2,260,9.1,284,76,0
2012/8/30,1007.8,1009.1,1006.7,33.1,26.6,28.7,62,0.8,75,6,11,80,0.5
2012/8/31,1007.8,1009.1,1006.3,32.6,25.7,28.3,59,0.4,55,5.7,355,79,2
2012/9/1,1007.8,1009.3,1006.3,34.5,25.9,29.2,51,0.6,13,10.4,259,72,0
